("","n","r","x","var","block",1)
("1",87,76,19,"1","a",1)
("10",85,14,21,"10","a",1)
("100",113,13,28,"10","c",1)
("101",63,0,3,"11","c",1)
("102",50,3,1,"12","c",1)
("103",102,36,10,"13","c",1)
("104",223,59,10,"14","c",1)
("105",91,5,15,"15","c",1)
("106",169,4,7,"16","c",1)
("107",130,57,7,"17","c",1)
("108",103,0,8,"18","c",1)
("109",98,22,17,"19","c",1)
("11",77,3,8,"11","a",1)
("110",173,92,17,"20","c",1)
("111",152,21,22,"21","c",1)
("112",137,57,7,"22","c",1)
("113",33,0,5,"23","c",1)
("114",123,24,10,"24","c",1)
("115",88,0,11,"25","c",1)
("116",99,8,9,"26","c",1)
("117",153,1,9,"27","c",1)
("118",154,6,16,"28","c",1)
("119",78,4,12,"29","c",1)
("12",29,3,3,"12","a",1)
("120",80,6,17,"30","c",1)
("121",161,0,13,"31","c",1)
("122",184,7,25,"32","c",1)
("123",69,18,2,"33","c",1)
("124",141,10,8,"34","c",1)
("125",113,8,4,"35","c",1)
("126",132,2,10,"36","c",1)
("127",63,24,3,"37","c",1)
("128",161,22,19,"38","c",1)
("129",111,10,20,"39","c",1)
("13",109,28,7,"13","a",1)
("130",78,8,7,"40","c",1)
("131",71,0,6,"41","c",1)
("132",118,16,20,"42","c",1)
("133",84,6,8,"43","c",1)
("134",175,0,12,"44","c",1)
("135",143,42,24,"45","c",1)
("136",59,39,14,"1","d",1)
("137",177,26,15,"2","d",1)
("138",48,38,3,"3","d",1)
("139",165,41,11,"4","d",1)
("14",209,63,10,"14","a",1)
("140",150,5,15,"5","d",1)
("141",135,47,19,"6","d",1)
("142",97,15,11,"7","d",1)
("143",75,18,3,"8","d",1)
("144",51,11,3,"9","d",1)
("145",135,28,19,"10","d",1)
("146",102,0,6,"11","d",1)
("147",57,39,4,"12","d",1)
("148",58,13,9,"13","d",1)
("149",157,23,9,"14","d",1)
("15",89,3,7,"15","a",1)
("150",94,1,13,"15","d",1)
("151",172,69,10,"16","d",1)
("152",105,24,2,"17","d",1)
("153",147,1,10,"18","d",1)
("154",94,30,36,"19","d",1)
("155",106,23,10,"20","d",1)
("156",137,15,13,"21","d",1)
("157",243,131,17,"22","d",1)
("158",137,4,10,"23","d",1)
("159",104,2,17,"24","d",1)
("16",171,16,14,"16","a",1)
("160",116,3,13,"25","d",1)
("161",102,13,10,"26","d",1)
("162",151,3,15,"27","d",1)
("163",113,7,15,"28","d",1)
("164",67,3,8,"29","d",1)
("165",111,13,12,"30","d",1)
("166",132,0,12,"31","d",1)
("167",220,6,14,"32","d",1)
("168",67,2,4,"33","d",1)
("169",146,10,9,"34","d",1)
("17",243,11,17,"17","a",1)
("170",110,0,4,"35","d",1)
("171",93,2,11,"36","d",1)
("172",79,11,3,"37","d",1)
("173",167,36,26,"38","d",1)
("174",144,16,14,"39","d",1)
("175",182,63,17,"40","d",1)
("176",61,2,8,"41","d",1)
("177",154,12,35,"42","d",1)
("178",98,0,8,"43","d",1)
("179",129,9,14,"44","d",1)
("18",109,2,14,"18","a",1)
("180",130,24,20,"45","d",1)
("19",66,8,18,"19","a",1)
("2",119,8,14,"2","a",1)
("20",177,62,12,"20","a",1)
("21",124,14,18,"21","a",1)
("22",159,34,10,"22","a",1)
("23",68,0,6,"23","a",1)
("24",136,13,12,"24","a",1)
("25",86,7,10,"25","a",1)
("26",75,12,16,"26","a",1)
("27",100,0,13,"27","a",1)
("28",147,22,18,"28","a",1)
("29",49,5,6,"29","a",1)
("3",94,74,9,"3","a",1)
("30",111,17,13,"30","a",1)
("31",134,0,8,"31","a",1)
("32",179,15,32,"32","a",1)
("33",120,20,5,"33","a",1)
("34",169,27,6,"34","a",1)
("35",45,0,2,"35","a",1)
("36",105,0,10,"36","a",1)
("37",65,6,7,"37","a",1)
("38",192,25,15,"38","a",1)
("39",92,2,18,"39","a",1)
("4",95,11,12,"4","a",1)
("40",212,112,12,"40","a",1)
("41",79,9,10,"41","a",1)
("42",119,10,15,"42","a",1)
("43",97,0,10,"43","a",1)
("44",129,1,9,"44","a",1)
("45",72,27,8,"45","a",1)
("46",70,70,12,"1","b",1)
("47",125,21,13,"2","b",1)
("48",105,95,9,"3","b",1)
("49",104,21,12,"4","b",1)
("5",134,0,12,"5","a",1)
("50",115,6,25,"5","b",1)
("51",195,63,17,"6","b",1)
("52",111,7,15,"7","b",1)
("53",131,22,6,"8","b",1)
("54",108,77,3,"9","b",1)
("55",121,12,21,"10","b",1)
("56",74,0,4,"11","b",1)
("57",111,26,5,"12","b",1)
("58",120,50,10,"13","b",1)
("59",231,105,12,"14","b",1)
("6",92,0,3,"6","a",1)
("60",113,18,12,"15","b",1)
("61",131,32,15,"16","b",1)
("62",222,9,9,"17","b",1)
("63",109,0,12,"18","b",1)
("64",161,36,19,"19","b",1)
("65",112,9,14,"20","b",1)
("66",121,17,16,"21","b",1)
("67",191,110,10,"22","b",1)
("68",85,0,8,"23","b",1)
("69",143,14,17,"24","b",1)
("7",118,11,17,"7","a",1)
("70",82,7,12,"25","b",1)
("71",105,22,13,"26","b",1)
("72",140,8,15,"27","b",1)
("73",167,7,11,"28","b",1)
("74",38,0,3,"29","b",1)
("75",81,13,11,"30","b",1)
("76",162,1,6,"31","b",1)
("77",243,11,18,"32","b",1)
("78",66,18,5,"33","b",1)
("79",120,25,6,"34","b",1)
("8",70,32,3,"8","a",1)
("80",133,0,6,"35","b",1)
("81",119,10,15,"36","b",1)
("82",92,43,6,"37","b",1)
("83",162,6,26,"38","b",1)
("84",131,17,26,"39","b",1)
("85",108,48,9,"40","b",1)
("86",46,0,5,"41","b",1)
("87",147,16,20,"42","b",1)
("88",130,11,14,"43","b",1)
("89",148,0,17,"44","b",1)
("9",128,33,3,"9","a",1)
("90",100,64,17,"45","b",1)
("91",73,54,25,"1","c",1)
("92",130,10,12,"2","c",1)
("93",71,44,6,"3","c",1)
("94",104,15,13,"4","c",1)
("95",195,3,19,"5","c",1)
("96",99,21,11,"6","c",1)
("97",63,8,12,"7","c",1)
("98",85,28,5,"8","c",1)
("99",59,11,4,"9","c",1)
